Name,Mode,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,PositionX,PositionY,Disabled,TargetData,CinematicDelayMS,ResetOtherTutorial,TutorialGroup,HideIsoScarecrow,OnRails,XpReward,EnsureLevel,CameraOffsetX,CameraOffsetY,FloatingHeadTID,ShowInteractiveAnimation,InteractiveIconName,InteractiveAnimationOffsetX,InteractiveAnimationOffsetY,ShouldHideArrow,FloatingHeadLeftAnchor,FloatingHeadTopAnchor,FloatingHeadLayer,ShowHandSlideAnimation,ShouldShowShopArrow,RestrictedCameraBounds,SetCameraMinScaleMobile,SetCameraMinScaleTablet,FontSize,HideFloatingHeadWhenGOHUDIsVisible,TargetScrollScaleMobile,TargetScrollScaleTablet,ScrollDelayMS,SkipWaitForHud,RestrictedBoundsAreRelative,FloatingHeadExtraTID,HideFloatingHeadWhenShopIsVisible
String,String,int,int,int,int,String,String,String,String,String,String,String,String,int,String,String,String,String,String,String,String,int,String,int,int,String,int,int,Boolean,String,int,String,String,Boolean,Boolean,int,int,int,int,String,Boolean,String,int,int,Boolean,float,float,int,Boolean,Boolean,String,float,float,int,Boolean,float,float,int,Boolean,Boolean,String,Boolean
Step1: Welcome,home,10,,,8,TID_TUTORIAL_01,,,,,,sc/humans.sc,scarecrow,1000,,,,,,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step2: Harvest,home,10,,,9,,TID_TUTORIAL_02a,,tutorial_harvest,TID_ANIMATION_Harvest,,sc/humans.sc,scarecrow,,,,HarvestableField,,HarvestFields,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step3: Seeding,home,10,,,9,,TID_TUTORIAL_03a,,tutorial_seeding,TID_ANIMATION_Seeding,,sc/humans.sc,scarecrow,,,,EmptyField,,PlantFields,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step4: Great!,home,10,,,10,TID_TUTORIAL_04,,,tutorial_great,TID_ANIMATION_CropInfo,,sc/humans.sc,scarecrow,,,,,,,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step5: Paint Main House,home,10,,,11,,TID_TUTORIAL_05a,,,,,sc/humans.sc,scarecrow,,,,MainBuilding,,FixBuilding,,,,,50,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step6: Paint Warehouse,home,10,,,12,,TID_TUTORIAL_06a,,,,,sc/humans.sc,scarecrow,,,,Warehouse,,FixBuilding,,,,,,20,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step7: Paint Silo,home,10,,,13,,TID_TUTORIAL_07a,,,,,sc/humans.sc,scarecrow,,,,Silo,,FixBuilding,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step8: Claim the habitat,home,10,,,14,TID_TUTORIAL_10,TID_TUTORIAL_47a,,,,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,ClaimFinishedBuilding,,,,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step9: Place first Chicken,home,10,,,15,,TID_TUTORIAL_10a,,tutorial_buy_chicken,TID_ANIMATION_BuyChicken,,sc/humans.sc,scarecrow,,,,ChickenHabitat,,BuyAnimals,ShowShopCategoryAnimals,,1,,,,,,,TRUE,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
